Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Country.of.Origin
7.33,6.75,6.67,7.25,7.5,7.0,10.0,10.0,1
7.08,7.0,6.83,7.5,7.33,6.83,8.0,10.0,1
7.0,6.58,6.67,6.83,7.08,6.83,10.0,10.0,1
6.92,6.42,6.17,7.33,7.25,6.75,10.0,10.0,1
7.67,7.0,7.17,7.58,7.33,7.33,10.0,10.0,1
7.08,7.08,6.92,7.08,6.92,6.92,8.0,8.0,1
8.0,7.33,7.75,7.33,7.42,7.67,6.67,6.67,0
6.92,6.92,6.92,6.92,7.17,7.0,10.0,10.0,1
6.5,6.67,6.42,7.17,7.33,6.5,8.0,10.0,1
6.92,7.0,6.83,6.92,7.42,6.92,6.0,10.0,1
7.08,6.83,6.25,7.42,7.25,6.75,10.0,10.0,1
